,0,1,2,3,4,5,6,7,8,9,10,11
0,100000000.0,0.01,1e-05,-0.1,0.0,0.005,1e-05,-0.1,0.0,0.01,0.3101249378066954,5.076213138687849e-06
1,100000000.0,0.01,1e-05,-0.1,0.0,0.005,1e-05,-0.1,0.0,0.013333333333333332,4.265030649884371,4.070464365995301e-06
2,100000000.0,0.01,1e-05,-0.1,0.0,0.005,1e-05,-0.1,0.0,0.016666666666666666,43.71142542063947,4.4440879582011315e-06
3,100000000.0,0.01,1e-05,-0.1,0.0,0.005,1e-05,-0.1,0.0,0.019999999999999997,243.4889344694006,5.120102658127225e-06
4,100000000.0,0.01,1e-05,-0.1,0.0,0.005,1e-05,-0.1,0.0,0.02333333333333333,1711.7726395726054,4.898584727129973e-06
5,100000000.0,0.01,1e-05,-0.1,0.0,0.005,1e-05,-0.1,0.0,0.026666666666666665,9169.665783409806,4.361183804100228e-06
6,100000000.0,0.01,1e-05,-0.1,0.0,0.005,1e-05,-0.1,0.0,0.03,34766.15525473748,4.640571996283657e-06
7,100000000.0,0.01,1e-05,-0.1,0.0,0.005,1e-05,-0.1,0.0,0.03333333333333333,98416.18818527239,5.0358082186419604e-06
8,100000000.0,0.01,1e-05,-0.1,0.0,0.005,1e-05,-0.1,0.0,0.03666666666666667,288603.03053104435,4.872643615102298e-06
9,100000000.0,0.01,1e-05,-0.1,0.0,0.005,1e-05,-0.1,0.0,0.04,887983.4200583404,5.273623428865538e-06
10,4.957023240099379e-05,,,,,,,,,,,
