,0,1,2,3,4,5,6,7,8,9,10
0,100000000,0.01,1.00E-05,-0.1,0,0.03,,-0.1,0,1.347024824,-3.00E-02
0,100000000,0.01,1.00E-05,-0.1,0,0.03,,-0.1,0,3.411138499,-2.50E-02
1,100000000,0.01,1.00E-05,-0.1,0,0.03,,-0.1,0,7.951444225,-2.00E-02
2,100000000,0.01,1.00E-05,-0.1,0,0.03,,-0.1,0,11.06820222,-1.50E-02
3,100000000,0.01,1.00E-05,-0.1,0,0.03,,-0.1,0,21.80505974,-1.00E-02
2,100000000,0.01,1.00E-05,-0.1,0,0.03,,-0.1,0,57.10506815,-5.00E-03
3,100000000,0.01,1.00E-05,-0.1,0,0.03,,-0.1,0,105.9522323,0.00E+00
