,0,1,2,3,4,5,6,7,8,9
0,100000000,0.01,1.00E-05,-0.1,0,0.09618,1.00E-08,-0.1,0,6.295189112
1,100000000,0.01,1.00E-05,-0.1,0,0.09618,1.00E-07,-0.1,0,75.96957059
2,100000000,0.01,1.00E-05,-0.1,0,0.09618,1.00E-06,-0.1,0,615.3737206
3,100000000,0.01,1.00E-05,-0.1,0,0.09618,1.00E-05,-0.1,0,1822.251905
0,100000000,0.01,1.00E-05,-0.1,0,0.096182,0.0001,-0.1,0,3048.965823
1,100000000,0.01,1.00E-05,-0.1,0,0.096182,0.001,-0.1,0,4693.462135
2,100000000,0.01,1.00E-05,-0.1,0,0.096182,0.01,-0.1,0,7606.493214
