,0,1,2,3,4,5,6,7,8,9,10,11
0,100000000.0,0.01,1e-05,0.0,0.0,0.012,1e-05,0.0,0.0,-0.012,0.034961895358855744,7.773758196751193e-06
1,100000000.0,0.01,1e-05,0.0,0.0,0.012,1e-05,0.0,0.0,-0.010666666677777778,0.0470829237602328,7.39027469054404e-06
2,100000000.0,0.01,1e-05,0.0,0.0,0.012,1e-05,0.0,0.0,-0.009333333355555556,0.1161584500615049,7.1287973276577384e-06
3,100000000.0,0.01,1e-05,0.0,0.0,0.012,1e-05,0.0,0.0,-0.008000000033333333,0.2633847204656139,8.570871461603405e-06
4,100000000.0,0.01,1e-05,0.0,0.0,0.012,1e-05,0.0,0.0,-0.006666666711111111,0.6600458903834849,8.61269137489754e-06
5,100000000.0,0.01,1e-05,0.0,0.0,0.012,1e-05,0.0,0.0,-0.005333333388888889,1.1374106099011931,8.829302229628539e-06
6,100000000.0,0.01,1e-05,0.0,0.0,0.012,1e-05,0.0,0.0,-0.004000000066666665,2.7330213291825576,7.249622846502713e-06
7,100000000.0,0.01,1e-05,0.0,0.0,0.012,1e-05,0.0,0.0,-0.0026666667444444434,6.673408594739575,8.962084228547288e-06
8,100000000.0,0.01,1e-05,0.0,0.0,0.012,1e-05,0.0,0.0,-0.0013333334222222215,13.022649159037925,8.777393454846082e-06
9,100000000.0,0.01,1e-05,0.0,0.0,0.012,1e-05,0.0,0.0,-1e-10,30.916568228050757,9.019292432362132e-06
10,4.9467091120211114e-05,,,,,,,,,,,
