,0,1,2,3,4,5,6,7,8,9,10,11
0,100000000,0.01,1.00E-05,0,0,0.017,1.00E-05,0,0,3.750233557,1.7,1
1,100000000,0.01,1.00E-05,0,0,0.02,1.00E-05,0,0,35.64649026,2,1
0,100000000,0.01,1.00E-05,0,0,0.0225,1.00E-05,0,0,254.3089256,2.25,1
2,100000000,0.01,1.00E-05,0,0,0.025,1.00E-05,0,0,747.3053504,2.5,1
0,100000000,0.01,1.00E-05,0,0,0.02875,1.00E-05,0,0,3463.39657,2.875,1
0,100000000,0.01,1.00E-05,0,0,0.0325,1.00E-05,0,0,14446.41054,3.25,1
0,100000000,0.01,1.00E-05,0,0,0.04,1.00E-05,0,0,28228.09691,4,1
1,100000000,0.01,1.00E-05,0,0,0.05,1.00E-05,0,0,34274.56176,5,1
2,100000000,0.01,1.00E-05,0,0,0.06,1.00E-05,0,0,43498.33578,6,1
