,0,1,2,3,4,5,6,7,8,9,10,11
0,100000000,0.01,1.00E-05,0,0,0.011,1.00E-05,0,0,3.084725868,1.1,2
1,100000000,0.01,1.00E-05,0,0,0.013,1.00E-05,0,0,22.71202128,1.3,2
0,100000000,0.01,1.00E-05,0,0,0.014,1.00E-05,0,0,51.26870888,1.4,2
0,100000000,0.01,1.00E-05,0,0,0.0155,1.00E-05,0,0,180.0748722,1.55,2
1,100000000,0.01,1.00E-05,0,0,0.017,1.00E-05,0,0,510.5930334,1.7,2
1,100000000,0.01,1.00E-05,0,0,0.0185,1.00E-05,0,0,985.5092389,1.85,2
0,100000000,0.01,1.00E-05,0,0,0.02,1.00E-05,0,0,2139.193097,2,2
0,100000000,0.01,1.00E-05,0,0,0.0225,1.00E-05,0,0,3597.064329,2.25,2
1,100000000,0.01,1.00E-05,0,0,0.025,1.00E-05,0,0,9111.147468,2.5,2
1,100000000,0.01,1.00E-05,0,0,0.02875,1.00E-05,0,0,14268.43442,2.875,2
0,100000000,0.01,1.00E-05,0,0,0.0325,1.00E-05,0,0,18048.60127,3.25,2
0,100000000,0.01,1.00E-05,0,0,0.03625,1.00E-05,0,0,18618.55749,3.625,2
0,100000000,0.01,1.00E-05,0,0,0.04,1.00E-05,0,0,27346.52988,4,2
1,100000000,0.01,1.00E-05,0,0,0.045,1.00E-05,0,0,29840.16101,4.5,2
1,100000000,0.01,1.00E-05,0,0,0.05,1.00E-05,0,0,34538.9473,5,2
2,100000000,0.01,1.00E-05,0,0,0.055,1.00E-05,0,0,35065.12474,5.5,2
2,100000000,0.01,1.00E-05,0,0,0.06,1.00E-05,0,0,41171.10691,6,2
