,0,1,2,3,4,5,6,7,8,9,10,11
0,100000000,0.01,1.00E-05,0,0,0.01,1.00E-05,0,0,0.789593512,1,10
0,100000000,0.01,1.00E-05,0,0,0.011,1.00E-05,0,0,4.723547718,1.1,10
1,100000000,0.01,1.00E-05,0,0,0.012,1.00E-05,0,0,21.86392059,1.2,10
1,100000000,0.01,1.00E-05,0,0,0.013,1.00E-05,0,0,87.78997449,1.3,10
0,100000000,0.01,1.00E-05,0,0,0.014,1.00E-05,0,0,194.5884414,1.4,10
1,100000000,0.01,1.00E-05,0,0,0.017,1.00E-05,0,0,1243.356708,1.7,10
0,100000000,0.01,1.00E-05,0,0,0.02,1.00E-05,0,0,4311.259665,2,10
0,100000000,0.01,1.00E-05,0,0,0.0225,1.00E-05,0,0,6803.917486,2.25,10
1,100000000,0.01,1.00E-05,0,0,0.025,1.00E-05,0,0,8882.478326,2.5,10
1,100000000,0.01,1.00E-05,0,0,0.02875,1.00E-05,0,0,16019.63425,2.875,10
0,100000000,0.01,1.00E-05,0,0,0.0325,1.00E-05,0,0,19193.20783,3.25,10
0,100000000,0.01,1.00E-05,0,0,0.04,1.00E-05,0,0,25775.08912,4,10
1,100000000,0.01,1.00E-05,0,0,0.05,1.00E-05,0,0,36970.36586,5,10
2,100000000,0.01,1.00E-05,0,0,0.06,1.00E-05,0,0,53369.4621,6,10
