,0,1,2,3,4,5,6,7,8,9,10
0,100000000,0.01,1.00E-05,-1.00E-06,0.01,0.01,1.00E-05,-1.00E-06,0.001,1.125322685,7.53E-06
0,100000000,0.01,1.00E-05,-0.0003333,0.01,0.01,1.00E-05,-0.0003333,0.001,3.441402482,7.75E-06
0,100000000,0.01,1.00E-05,-0.000666,0.01,0.01,1.00E-05,-0.000666,0.001,8.485887138,8.18E-06
0,100000000,0.01,1.00E-05,-0.001,0.01,0.01,1.00E-05,-0.001,0.001,23.44774232,6.62E-06
0,100000000,0.01,1.00E-05,-0.0013333,0.01,0.01,1.00E-05,-0.0013333,0.001,35.97713888,6.07E-06
1,100000000,0.01,1.00E-05,-0.0016666,0.01,0.01,1.00E-05,-0.0016666,0.001,58.58876486,6.98E-06
0,100000000,0.01,1.00E-05,-0.002,0.01,0.01,1.00E-05,-0.002,0.001,85.44763151,6.43E-06
1,100000000,0.01,1.00E-05,-0.0030008,0.01,0.01,1.00E-05,-0.0030008,0.001,171.4034331,6.80E-06
0,100000000,0.01,1.00E-05,-0.004,0.01,0.01,1.00E-05,-0.004,0.001,179.2340797,8.10E-06
1,100000000,0.01,1.00E-05,-0.005,0.01,0.01,1.00E-05,-0.005,0.001,231.8280578,8.03E-06
2,100000000,0.01,1.00E-05,-0.0060006,0.01,0.01,1.00E-05,-0.0060006,0.001,218.0853529,5.60E-06
0,100000000,0.01,1.00E-05,-0.007,0.01,0.01,1.00E-05,-0.007,0.001,287.1076622,6.83E-06
1,100000000,0.01,1.00E-05,-0.008,0.01,0.01,1.00E-05,-0.008,0.001,272.1085085,7.89E-06
3,100000000,0.01,1.00E-05,-0.0090004,0.01,0.01,1.00E-05,-0.0090004,0.001,306.1451638,8.35E-06
2,100000000,0.01,1.00E-05,-0.01,0.01,0.01,1.00E-05,-0.01,0.001,300.3644815,7.01E-06
0,100000000,0.01,1.00E-05,-0.011,0.01,0.01,1.00E-05,-0.011,0.001,326.4689945,8.19E-06
4,100000000,0.01,1.00E-05,-0.0120002,0.01,0.01,1.00E-05,-0.0120002,0.001,258.6902163,7.35E-06
1,100000000,0.01,1.00E-05,-0.013,0.01,0.01,1.00E-05,-0.013,0.001,298.9693932,7.58E-06
2,100000000,0.01,1.00E-05,-0.014,0.01,0.01,1.00E-05,-0.014,0.001,326.7709841,7.98E-06
5,100000000,0.01,1.00E-05,-0.015,0.01,0.01,1.00E-05,-0.015,0.001,308.2298471,7.51E-06
6,4.71E-05,,,,,,,,,,
