,0,1,2,3,4,5,6,7,8,9,10
0,100000000,0.01,1.00E-05,-1.00E-06,0.01,0.01,1.00E-05,-1.00E-06,0.005,1.106472348,7.52E-06
0,100000000,0.01,1.00E-05,-0.0003333,0.01,0.01,1.00E-05,-0.0003333,0.005,2.314348489,7.78E-06
1,100000000,0.01,1.00E-05,-0.0006666,0.01,0.01,1.00E-05,-0.0006666,0.005,3.382675446,8.27E-06
0,100000000,0.01,1.00E-05,-0.001,0.01,0.01,1.00E-05,-0.001,0.005,6.963919605,7.57E-06
0,100000000,0.01,1.00E-05,-0.0013333,0.01,0.01,1.00E-05,-0.0013333,0.005,7.585654272,6.53E-06
1,100000000,0.01,1.00E-05,-0.0016666,0.01,0.01,1.00E-05,-0.0016666,0.005,10.71217585,6.08E-06
1,100000000,0.01,1.00E-05,-0.002,0.01,0.01,1.00E-05,-0.002,0.005,11.69058459,6.77E-06
0,100000000,0.01,1.00E-05,-0.003,0.01,0.01,1.00E-05,-0.003,0.005,16.84318799,7.14E-06
0,100000000,0.01,1.00E-05,-0.004,0.01,0.01,1.00E-05,-0.004,0.005,24.25506746,7.50E-06
1,100000000,0.01,1.00E-05,-0.005,0.01,0.01,1.00E-05,-0.005,0.005,22.33323242,7.16E-06
1,100000000,0.01,1.00E-05,-0.006,0.01,0.01,1.00E-05,-0.006,0.005,26.70654674,7.09E-06
0,100000000,0.01,1.00E-05,-0.007,0.01,0.01,1.00E-05,-0.007,0.005,25.65708105,6.96E-06
1,100000000,0.01,1.00E-05,-0.008,0.01,0.01,1.00E-05,-0.008,0.005,25.92528894,8.39E-06
0,100000000,0.01,1.00E-05,-0.009,0.01,0.01,1.00E-05,-0.009,0.005,27.85745007,7.72E-06
2,100000000,0.01,1.00E-05,-0.01,0.01,0.01,1.00E-05,-0.01,0.005,27.50609854,6.04E-06
0,100000000,0.01,1.00E-05,-0.011,0.01,0.01,1.00E-05,-0.011,0.005,25.18077999,7.86E-06
1,100000000,0.01,1.00E-05,-0.012,0.01,0.01,1.00E-05,-0.012,0.005,28.96126449,7.27E-06
1,100000000,0.01,1.00E-05,-0.013,0.01,0.01,1.00E-05,-0.013,0.005,22.60003039,7.86E-06
2,100000000,0.01,1.00E-05,-0.014,0.01,0.01,1.00E-05,-0.014,0.005,23.06784388,7.88E-06
0,100000000,0.01,1.00E-05,-0.015,0.01,0.01,1.00E-05,-0.015,0.005,28.06976903,7.66E-06
