,0,1,2,3,4,5,6,7,8,9,10,11
0,100000000,0.01,1.00E-05,0,0,0.017,1.00E-05,0,0,0.059847152,1.7,0
1,100000000,0.01,1.00E-05,0,0,0.02,1.00E-05,0,0,0.318002705,2,0
0,100000000,0.01,1.00E-05,0,0,0.0225,1.00E-05,0,0,1.3150565,2.25,0
2,100000000,0.01,1.00E-05,0,0,0.025,1.00E-05,0,0,3.648719217,2.5,0
0,100000000,0.01,1.00E-05,0,0,0.02875,1.00E-05,0,0,11.25298437,2.875,0
0,100000000,0.01,1.00E-05,0,0,0.0325,1.00E-05,0,0,122.4585405,3.25,0
0,100000000,0.01,1.00E-05,0,0,0.03625,1.00E-05,0,0,354.0452926,3.625,0
0,100000000,0.01,1.00E-05,0,0,0.04,1.00E-05,0,0,1071.929761,4,0
1,100000000,0.01,1.00E-05,0,0,0.045,1.00E-05,0,0,4683.148304,4.5,0
1,100000000,0.01,1.00E-05,0,0,0.05,1.00E-05,0,0,11354.40164,5,0
2,100000000,0.01,1.00E-05,0,0,0.055,1.00E-05,0,0,19467.91784,5.5,0
2,100000000,0.01,1.00E-05,0,0,0.06,1.00E-05,0,0,32802.68876,6,0
