,0,1,2,3,4,5,6,7,8,9,10,11
0,100000000,0.01,1.00E-05,0,0,0.01,1.00E-05,0,0,0.771614892,1,5
1,100000000,0.01,1.00E-05,0,0,0.012,1.00E-05,0,0,17.55862444,1.2,5
0,100000000,0.01,1.00E-05,0,0,0.014,1.00E-05,0,0,139.7084278,1.4,5
1,100000000,0.01,1.00E-05,0,0,0.017,1.00E-05,0,0,1113.305082,1.7,5
0,100000000,0.01,1.00E-05,0,0,0.02,1.00E-05,0,0,3720.998296,2,5
1,100000000,0.01,1.00E-05,0,0,0.025,1.00E-05,0,0,8225.011383,2.5,5
0,100000000,0.01,1.00E-05,0,0,0.03625,1.00E-05,0,0,21536.21744,3.625,5
0,100000000,0.01,1.00E-05,0,0,0.04,1.00E-05,0,0,27780.95703,4,5
1,100000000,0.01,1.00E-05,0,0,0.045,1.00E-05,0,0,30602.66689,4.5,5
1,100000000,0.01,1.00E-05,0,0,0.05,1.00E-05,0,0,31052.27792,5,5
2,100000000,0.01,1.00E-05,0,0,0.055,1.00E-05,0,0,32091.49203,5.5,5
2,100000000,0.01,1.00E-05,0,0,0.06,1.00E-05,0,0,49796.87214,6,5
