,0,1,2,3,4,5,6,7,8,9,10,11
0,100000000,0.01,1.00E-05,0,0,0.01,1.00E-05,0,0,0.852063636,1,1
1,100000000,0.01,1.00E-05,0,0,0.012,1.00E-05,0,0,5.149998889,1.2,1
0,100000000,0.01,1.00E-05,0,0,0.014,1.00E-05,0,0,30.53212965,1.4,1
1,100000000,0.01,1.00E-05,0,0,0.017,1.00E-05,0,0,248.5637012,1.7,1
0,100000000,0.01,1.00E-05,0,0,0.02,1.00E-05,0,0,792.8702205,2,1
1,100000000,0.01,1.00E-05,0,0,0.025,1.00E-05,0,0,4836.745714,2.5,1
0,100000000,0.01,1.00E-05,0,0,0.0325,1.00E-05,0,0,15725.08142,3.25,1
0,100000000,0.01,1.00E-05,0,0,0.03625,1.00E-05,0,0,15986.31619,3.625,1
0,100000000,0.01,1.00E-05,0,0,0.04,1.00E-05,0,0,30545.63717,4,1
1,100000000,0.01,1.00E-05,0,0,0.045,1.00E-05,0,0,35097.25837,4.5,1
1,100000000,0.01,1.00E-05,0,0,0.05,1.00E-05,0,0,39875.00555,5,1
2,100000000,0.01,1.00E-05,0,0,0.055,1.00E-05,0,0,38430.94481,5.5,1
2,100000000,0.01,1.00E-05,0,0,0.06,1.00E-05,0,0,44563.5955,6,1
