,0,1,2,3,4,5,6,7,8,9,10,11,12
,0,0,0,0,0,0,0,0,0,,0,0,0
0,50,0.115513102,0.130725187,0.112174858,0.127785672,0.101340353,0.114772993,0.14634305,0.145838822,0.127537664,0.162337971,0.128436967,0.017696363
1,100,0.200340757,0.191831011,0.240432858,0.22239342,0.18967375,0.223624856,0.343221694,0.224184706,0.234278318,0.297304022,0.236728539,0.045954835
2,150,0.285584469,0.222008409,0.261314545,0.250242906,0.238097461,0.243201085,0.35465402,0.267639156,0.267668583,0.332168787,0.272257942,0.039672521
3,200,0.305498245,0.269714519,0.29469834,0.2551647,0.279414312,0.288185186,0.368028531,0.288704221,0.295905328,0.376156004,0.302146939,0.037516661
4,250,0.310705694,0.277396982,0.316735922,0.290132456,0.309423257,0.299333228,0.387339292,0.309960553,0.301157129,0.378690141,0.318087465,0.034265855
5,300,0.320468608,0.289382479,0.319989855,0.316109438,0.321285236,0.30162814,0.393359331,0.331205701,0.311694647,0.3795903,0.328471373,0.031147177
6,350,0.335009529,0.304294389,0.32619798,0.319768338,0.32392045,0.307748941,0.394454281,0.342107278,0.328402826,0.38135906,0.336326307,0.02806797
7,400,0.342696566,0.315823945,0.343793994,0.322388292,0.327704891,0.322741978,0.395022295,0.354205397,0.338403235,0.385461532,0.344824212,0.025359703
8,450,0.346569497,0.326665419,0.357943538,0.327906847,0.335224674,0.336761545,0.395908818,0.363159975,0.346014261,0.39341144,0.352956601,0.023653486
9,500,0.351447233,0.334909836,0.363142412,0.336457521,0.343981811,0.343493696,0.397536068,0.369850954,0.354506604,0.404139559,0.359946569,0.022978853
10,550,0.357672902,0.341046373,0.367288327,0.344032574,0.350522163,0.347507074,0.400257837,0.376270765,0.360946168,0.412937011,0.365848119,0.022946209
11,600,0.363088228,0.347682397,0.372478348,0.349648782,0.356890407,0.352114625,0.403988163,0.381252452,0.365252245,0.417719447,0.371011509,0.02242583
12,650,0.367143814,0.354498278,0.377954962,0.354714669,0.365309838,0.360821711,0.408000332,0.384635875,0.369484193,0.419859699,0.376242337,0.020991533
13,700,0.371134869,0.359397725,0.383388108,0.359149691,0.373466025,0.374579471,0.411651659,0.387688609,0.374307006,0.420943524,0.381570669,0.019407185
14,750,0.376064152,0.362404644,0.389435956,0.362635238,0.378598936,0.384858317,0.414889402,0.391358018,0.378793113,0.42184546,0.386088324,0.018626119
15,800,0.381859805,0.364922861,0.395992455,0.365815556,0.38143721,0.389183776,0.418137317,0.395419568,0.382548057,0.423022374,0.389833898,0.018321362
16,850,0.388122324,0.368139271,0.401960015,0.369536895,0.383544017,0.391416087,0.421550158,0.399108978,0.386037865,0.424753976,0.393416959,0.018088809
17,900,0.394706193,0.372454336,0.406935607,0.373792718,0.385861504,0.393797564,0.424939154,0.402310964,0.389849297,0.42703641,0.397168375,0.017723444
18,950,0.40122169,0.377577125,0.410921864,0.377723202,0.388830736,0.397430071,0.428345357,0.405467127,0.393947415,0.429577884,0.401104247,0.017273731
19,1000,0.406997265,0.38270583,0.414216929,0.381042568,0.392335154,0.402707302,0.432075851,0.408818361,0.39807192,0.432005946,0.405097713,0.016883393
20,1050,0.411929099,0.387339651,0.417215612,0.384393517,0.395971663,0.408547462,0.436540204,0.412188856,0.402350251,0.434149761,0.409062608,0.016631266
21,1100,0.416061694,0.391048389,0.420156002,0.388682828,0.399483235,0.413543922,0.44168532,0.415353541,0.407140706,0.436164252,0.412931989,0.016480393
22,1150,0.419581735,0.393800469,0.422855718,0.394224297,0.403122304,0.417149814,0.446980859,0.418428621,0.412428253,0.438295612,0.416686768,0.01632432
23,1200,0.422847036,0.396107733,0.425090579,0.400293638,0.407129992,0.419684497,0.451686392,0.421495167,0.417688063,0.440726454,0.420274955,0.016122578
24,1250,0.426179167,0.398600424,0.426829724,0.40572377,0.412018008,0.421691976,0.455575547,0.424452047,0.422199253,0.443501406,0.423677132,0.015876192
25,1300,0.429335892,0.401588206,0.42833213,0.409890904,0.418645388,0.423780403,0.458757668,0.427142473,0.425685024,0.446429474,0.426958756,0.015535968
26,1350,0.432021462,0.404835578,0.429889357,0.413132163,0.426854901,0.42640274,0.461394884,0.429631161,0.428424736,0.449290777,0.430187776,0.015181371
27,1400,0.434158429,0.407913076,0.431827754,0.415980928,0.434101504,0.429810993,0.46351377,0.432054181,0.430983183,0.451913862,0.433225768,0.014921054
28,1450,0.436111256,0.410678882,0.434288788,0.418639854,0.439184709,0.433722901,0.465212912,0.434462097,0.433635219,0.454156408,0.436009303,0.014669041
29,1500,0.43816014,0.413487637,0.437042989,0.420967542,0.442919298,0.437492783,0.466665825,0.436691542,0.436486318,0.456131693,0.438604577,0.014377743
30,1550,0.440480382,0.416580342,0.439986103,0.422857785,0.44619918,0.440652036,0.4681155,0.438666049,0.439234085,0.457976853,0.441074831,0.014092139
31,1600,0.442841866,0.419832611,0.442804826,0.424407995,0.449351715,0.443046328,0.469683957,0.440427265,0.441676404,0.459858486,0.443393145,0.013877563
32,1650,0.445007724,0.423035099,0.445508935,0.425901239,0.452678925,0.44486261,0.471453649,0.442045694,0.443948428,0.461822193,0.44562645,0.013766461
33,1700,0.446844024,0.426090826,0.447958257,0.427691507,0.456714042,0.446335351,0.473376831,0.443827129,0.446126214,0.463861901,0.447882608,0.01374358
34,1750,0.44855968,0.429078004,0.450216201,0.429942249,0.461637475,0.447729752,0.475375368,0.445760101,0.44815562,0.465912429,0.450236688,0.013786524
35,1800,0.450540479,0.431942969,0.452277543,0.432707833,0.466723385,0.449303336,0.477342977,0.447802299,0.449910889,0.467902852,0.452645456,0.013833711
36,1850,0.453104061,0.434626052,0.454342879,0.435887918,0.470733693,0.451323511,0.479309919,0.449802242,0.451405404,0.469880646,0.455041633,0.013776022
37,1900,0.4564718,0.437209636,0.456504236,0.439223714,0.473490396,0.454127146,0.481229126,0.451742728,0.452699704,0.471816924,0.457451541,0.013561159
38,1950,0.460195394,0.440005253,0.458692573,0.442529394,0.475448716,0.458279826,0.483062711,0.453615052,0.453954289,0.473700983,0.459948419,0.013210899
39,2000,0.463729427,0.443174519,0.460695138,0.445663308,0.477073415,0.464283849,0.484802219,0.455543172,0.455301559,0.475474742,0.462574135,0.012818646
40,2050,0.466524061,0.446668948,0.46235674,0.448532671,0.478629684,0.471000277,0.486466302,0.457485359,0.456918216,0.477157077,0.465173933,0.012523421
41,2100,0.468724623,0.450104232,0.46365473,0.451139831,0.480135874,0.475987596,0.488053362,0.459321028,0.45880259,0.478766727,0.467469059,0.012288894
42,2150,0.470565725,0.452957797,0.464759069,0.453555421,0.481538986,0.478632379,0.48961231,0.461006459,0.460847026,0.480382784,0.469385796,0.012040131
43,2200,0.472262478,0.455131239,0.465861309,0.455814056,0.482816791,0.479909534,0.491144843,0.462504448,0.462883488,0.482004653,0.471033284,0.011808493
44,2250,0.473993041,0.456762206,0.467137863,0.457817456,0.483935068,0.480618411,0.492627782,0.463897992,0.464825912,0.483584758,0.472520049,0.011626642
45,2300,0.475683346,0.458038645,0.468689424,0.459549749,0.484949014,0.48115724,0.494056054,0.465306926,0.466656173,0.48514015,0.473922672,0.011495683
46,2350,0.477318651,0.45913486,0.470514149,0.461088391,0.485963135,0.481721752,0.495403639,0.466837855,0.468333424,0.486581067,0.475289692,0.011387542
47,2400,0.478805551,0.460234448,0.47255408,0.462612144,0.487066781,0.482464325,0.496687661,0.468388306,0.469847855,0.487997852,0.4766659,0.011291919
48,2450,0.480172633,0.461471524,0.474694494,0.464249067,0.488319708,0.483484114,0.49796461,0.469945945,0.471170518,0.489374584,0.47808472,0.011197776
49,2500,0.481538993,0.462935788,0.476889939,0.465954186,0.489791612,0.484853419,0.499237404,0.471368254,0.472305931,0.490734552,0.479561008,0.011122192
50,2550,0.483027757,0.464629168,0.479038041,0.467679546,0.491419116,0.486570398,0.500481418,0.472749712,0.473336873,0.492072859,0.481100489,0.011053554
51,2600,0.484761294,0.466490079,0.481103585,0.469331233,0.493175593,0.488548168,0.50167668,0.474142829,0.474343647,0.493360719,0.482693383,0.010995639
