,0,1,2,3,4,5,6,7,8,9,10,11
0,100000000,0.01,1.00E-05,0,0,0.012,1.00E-05,0,0,2.988636975,1.2,4
0,100000000,0.01,1.00E-05,0,0,0.014,1.00E-05,0,0,28.69192028,1.4,4
0,100000000,0.01,1.00E-05,0,0,0.017,1.00E-05,0,0,666.1493712,1.7,4
0,100000000,0.01,1.00E-05,0,0,0.02,1.00E-05,0,0,2898.080904,2,4
0,100000000,0.01,1.00E-05,0,0,0.0225,1.00E-05,0,0,5773.530324,2.25,4
1,100000000,0.01,1.00E-05,0,0,0.025,1.00E-05,0,0,8888.255507,2.5,4
0,100000000,0.01,1.00E-05,0,0,0.02875,1.00E-05,0,0,15517.53156,2.875,4
0,100000000,0.01,1.00E-05,0,0,0.0325,1.00E-05,0,0,21964.88734,3.25,4
0,100000000,0.01,1.00E-05,0,0,0.03625,1.00E-05,0,0,26040.37449,3.625,4
1,100000000,0.01,1.00E-05,0,0,0.04,1.00E-05,0,0,24864.6577,4,4
1,100000000,0.01,1.00E-05,0,0,0.045,1.00E-05,0,0,31189.75171,4.5,4
0,100000000,0.01,1.00E-05,0,0,0.05,1.00E-05,0,0,37140.24974,5,4
2,100000000,0.01,1.00E-05,0,0,0.055,1.00E-05,0,0,32734.50846,5.5,4
1,100000000,0.01,1.00E-05,0,0,0.06,1.00E-05,0,0,40257.10518,6,4
