,0,1,2,3,4,5,6,7,8,9,10,11
0,100000000,0.01,1.00E-05,0,0,0.01,1.00E-05,0,0,0.568432818,1,10
1,100000000,0.01,1.00E-05,0,0,0.012,1.00E-05,0,0,21.2611433,1.2,10
2,100000000,0.01,1.00E-05,0,0,0.014,1.00E-05,0,0,191.1221975,1.4,10
0,100000000,0.01,1.00E-05,0,0,0.017,1.00E-05,0,0,961.5657839,1.7,10
1,100000000,0.01,1.00E-05,0,0,0.02,1.00E-05,0,0,4244.316274,2,10
2,100000000,0.01,1.00E-05,0,0,0.025,1.00E-05,0,0,9061.308749,2.5,10
0,100000000,0.01,1.00E-05,0,0,0.0325,1.00E-05,0,0,20819.18434,3.25,10
0,100000000,0.01,1.00E-05,0,0,0.04,1.00E-05,0,0,26296.39509,4,10
1,100000000,0.01,1.00E-05,0,0,0.05,1.00E-05,0,0,35091.45247,5,10
2,100000000,0.01,1.00E-05,0,0,0.06,1.00E-05,0,0,37523.59158,6,10
