,0,1,2,3,4,5,6,7,8,9,10,11
0,100000000,0.01,1.00E-05,0,0,0.01,1.00E-05,0,0,0.889174051,1,4
0,100000000,0.01,1.00E-05,0,0,0.011,1.00E-05,0,0,4.254662772,1.1,4
1,100000000,0.01,1.00E-05,0,0,0.012,1.00E-05,0,0,15.54091277,1.2,4
1,100000000,0.01,1.00E-05,0,0,0.013,1.00E-05,0,0,43.518351,1.3,4
0,100000000,0.01,1.00E-05,0,0,0.014,1.00E-05,0,0,108.1201061,1.4,4
0,100000000,0.01,1.00E-05,0,0,0.0155,1.00E-05,0,0,456.7299854,1.55,4
1,100000000,0.01,1.00E-05,0,0,0.017,1.00E-05,0,0,1096.129828,1.7,4
1,100000000,0.01,1.00E-05,0,0,0.0185,1.00E-05,0,0,1591.472859,1.85,4
0,100000000,0.01,1.00E-05,0,0,0.02,1.00E-05,0,0,3421.756168,2,4
0,100000000,0.01,1.00E-05,0,0,0.0225,1.00E-05,0,0,5436.699316,2.25,4
1,100000000,0.01,1.00E-05,0,0,0.025,1.00E-05,0,0,10319.81855,2.5,4
1,100000000,0.01,1.00E-05,0,0,0.02875,1.00E-05,0,0,15421.36672,2.875,4
0,100000000,0.01,1.00E-05,0,0,0.03625,1.00E-05,0,0,25440.21977,3.625,4
1,100000000,0.01,1.00E-05,0,0,0.045,1.00E-05,0,0,30750.75633,4.5,4
2,100000000,0.01,1.00E-05,0,0,0.055,1.00E-05,0,0,45446.64921,5.5,4
