,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1000000000.0,0.01,1e-05,0.0,0.0,0.01,1e-05,0.0,0.0,1e-10,0.8896553577558304,1.0,9.38241047131781e-06
1,1000000000.0,0.01,1e-05,0.0,0.0,0.01128837891684689,1e-05,0.0,0.0,1e-10,21.46526644456559,1.128837891684689,1.0455191235113015e-05
2,1000000000.0,0.01,1e-05,0.0,0.0,0.012742749857031338,1e-05,0.0,0.0,1e-10,173.11884208961808,1.2742749857031337,9.979483555407428e-06
3,1000000000.0,0.01,1e-05,0.0,0.0,0.014384498882876628,1e-05,0.0,0.0,1e-10,1142.9612763557477,1.4384498882876628,9.1460153864035e-06
4,1000000000.0,0.01,1e-05,0.0,0.0,0.016237767391887217,1e-05,0.0,0.0,1e-10,3961.811762497819,1.6237767391887217,9.923460668553991e-06
5,1000000000.0,0.01,1e-05,0.0,0.0,0.01832980710832436,1e-05,0.0,0.0,1e-10,13703.613943106551,1.8329807108324359,9.768205603666778e-06
6,1000000000.0,0.01,1e-05,0.0,0.0,0.020691380811147898,1e-05,0.0,0.0,1e-10,28080.40959039809,2.0691380811147897,1.1046558201286557e-05
7,1000000000.0,0.01,1e-05,0.0,0.0,0.023357214690901223,1e-05,0.0,0.0,1e-10,62280.942569822095,2.3357214690901222,1.094758044238451e-05
8,1000000000.0,0.01,1e-05,0.0,0.0,0.026366508987303583,1e-05,0.0,0.0,1e-10,108713.606383121,2.636650898730358,1.0312003636215897e-05
9,1000000000.0,0.01,1e-05,0.0,0.0,0.02976351441631318,1e-05,0.0,0.0,1e-10,146193.74029824435,2.976351441631318,8.07027638297353e-06
10,1000000000.0,0.01,1e-05,0.0,0.0,0.03359818286283782,1e-05,0.0,0.0,1e-10,216647.2342972723,3.3598182862837818,9.959451877106646e-06
11,1000000000.0,0.01,1e-05,0.0,0.0,0.0379269019073225,1e-05,0.0,0.0,1e-10,253629.3766180701,3.79269019073225,1.0250056379964396e-05
12,1000000000.0,0.01,1e-05,0.0,0.0,0.04281332398719394,1e-05,0.0,0.0,1e-10,353716.1309137845,4.281332398719393,1.0508192497708439e-05
13,1000000000.0,0.01,1e-05,0.0,0.0,0.04832930238571752,1e-05,0.0,0.0,1e-10,427878.0096179664,4.832930238571752,9.613383288307235e-06
14,1000000000.0,0.01,1e-05,0.0,0.0,0.05455594781168519,1e-05,0.0,0.0,1e-10,461920.8208830026,5.455594781168519,9.598716429691968e-06
15,1000000000.0,0.01,1e-05,0.0,0.0,0.06158482110660264,1e-05,0.0,0.0,1e-10,529927.9890126719,6.158482110660264,1.0418326471683882e-05
16,1000000000.0,0.01,1e-05,0.0,0.0,0.06951927961775606,1e-05,0.0,0.0,1e-10,519792.460414018,6.951927961775605,1.053702069103269e-05
17,1000000000.0,0.01,1e-05,0.0,0.0,0.07847599703514611,1e-05,0.0,0.0,1e-10,511608.3541228462,7.847599703514611,1.1054490825368331e-05
18,1000000000.0,0.01,1e-05,0.0,0.0,0.08858667904100825,1e-05,0.0,0.0,1e-10,581335.4319191937,8.858667904100825,1.2049457842440819e-05
19,1000000000.0,0.01,1e-05,0.0,0.0,0.1,1e-05,0.0,0.0,1e-10,770873.4294586641,10.0,1.069817599199243e-05
20,5.834004740345091e-05,,,,,,,,,,,,
